time,IDX_POS_X,IDX_POS_Y,IDX_POS_Z,IDX_VEL_X,IDX_VEL_Y,IDX_VEL_Z,IDX_QUAT_W,IDX_QUAT_X,IDX_QUAT_Y,IDX_QUAT_Z,IDX_OMEGA_X,IDX_OMEGA_Y,IDX_OMEGA_Z
5.000000000000000104e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.949999999999999498e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000000167e-03
1.000000000000000021e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.474999999999999769e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.899999999999998995e-03,9.999999997999999835e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999600000035e-05,0.000000000000000000e+00,0.000000000000000000e+00,-1.600000000000000033e-02
1.499999999999999944e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.424999999999999138e-05,0.000000000000000000e+00,0.000000000000000000e+00,8.849999999999998493e-03,9.999999981999999621e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.999999994000000257e-05,0.000000000000000000e+00,0.000000000000000000e+00,-2.400000000000000050e-02
2.000000000000000042e-02,1.000000000000000000e+00,0.000000000000000000e+00,8.849999999999998276e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000666e-02,9.999999928000000704e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.199999996160000016e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.200000000000000067e-02
2.500000000000000139e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.475000000000000074e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.475000000000000616e-02,9.999999800000001215e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999983999999835e-04,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000083e-02
3.000000000000000236e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.212500000000000382e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.770000000000000739e-02,9.999999550000004955e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.999999949000000700e-04,0.000000000000000000e+00,0.000000000000000000e+00,-4.800000000000000100e-02
3.500000000000000333e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.097500000000000752e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.064999999999999822e-02,9.999999118000018061e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.199999864760002263e-04,0.000000000000000000e+00,0.000000000000000000e+00,-5.600000000000000117e-02
4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.130000000000000641e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.359999999999999598e-02,9.999998432000053450e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.599999686400008265e-04,0.000000000000000000e+00,0.000000000000000000e+00,-6.400000000000000133e-02
4.499999999999999833e-02,1.000000000000000000e+00,0.000000000000000000e+00,5.310000000000000050e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.654999999999999721e-02,9.999997408000137478e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.199999343360025854e-04,0.000000000000000000e+00,0.000000000000000000e+00,-7.200000000000000844e-02
4.999999999999999584e-02,1.000000000000000000e+00,0.000000000000000000e+00,6.637500000000000604e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.949999999999999845e-02,9.999995950000321043e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.999998731000071828e-04,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000001554e-02
5.499999999999999334e-02,1.000000000000000000e+00,0.000000000000000000e+00,8.112500000000001221e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.244999999999999968e-02,9.999993950000699572e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.099999770100018636e-03,0.000000000000000000e+00,0.000000000000000000e+00,-8.800000000000002265e-02
5.999999999999999084e-02,1.000000000000000000e+00,0.000000000000000000e+00,9.735000000000001898e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.540000000000000785e-02,9.999991288001418566e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.319999605056043765e-03,0.000000000000000000e+00,0.000000000000000000e+00,-9.600000000000002975e-02
