time,IDX_POS_X,IDX_POS_Y,IDX_POS_Z,IDX_VEL_X,IDX_VEL_Y,IDX_VEL_Z,IDX_QUAT_W,IDX_QUAT_X,IDX_QUAT_Y,IDX_QUAT_Z,IDX_OMEGA_X,IDX_OMEGA_Y,IDX_OMEGA_Z
5.499999999999999334e-02,1.000446540726736000e+00,1.737847240440645089e-08,1.283056732835185371e-02,3.132620384709432909e-02,1.067715819588098637e-06,4.450042809493785501e-01,9.992873274223326163e-01,6.454804925373186505e-08,3.774700974472125492e-02,2.254905174673051753e-05,6.903617094931178879e-05,8.865472787401759147e-01,-1.138957533144667206e-03
5.999999999999999084e-02,1.000603171745971576e+00,2.271705150234694539e-08,1.505558873309874660e-02,3.710501862271828322e-02,1.188233670597964251e-06,4.723372404824396353e-01,9.992012120314976986e-01,7.955767684038381080e-08,3.996170024907929469e-02,1.969726708372604402e-05,6.314351789142165733e-05,7.772343583931552446e-01,-1.019528740806273544e-03
6.499999999999998834e-02,1.000788696839085112e+00,2.865821985533676652e-08,1.741727493551094297e-02,4.310424296840512093e-02,1.294552917056328804e-06,4.981694922032884332e-01,9.991216769307700307e-01,9.716145574393232364e-08,4.190315493026140758e-02,1.714429511662454193e-05,5.766889160895516885e-05,6.727786398467028306e-01,-9.028424605087742886e-04
6.999999999999999278e-02,1.001004218053927142e+00,3.513098444061841319e-08,1.990812239652738416e-02,4.927587973708617841e-02,1.386144030712349630e-06,5.225670636828311233e-01,9.990497849708193101e-01,1.177912307339982000e-07,4.358356259226479207e-02,1.488327253088755624e-05,5.262761987860358913e-05,5.731230163681948486e-01,-7.934975992092544762e-04
7.499999999999999722e-02,1.001250597452612467e+00,4.206170459418016054e-08,2.252095771494154117e-02,5.557658504872867167e-02,1.462979718394976887e-06,5.455939909861766690e-01,9.989863127135318877e-01,1.414516205255396197e-07,4.501496245360147447e-02,1.289583480328659147e-05,4.800102076887924812e-05,4.782140770932428731e-01,-6.936572405309246892e-04
8.000000000000000167e-02,1.001528480377856134e+00,4.937660318615504657e-08,2.524892766987242576e-02,6.196728635906723071e-02,1.525395115521481977e-06,5.673122408459922994e-01,9.989317818740170996e-01,1.678525964876501336e-07,4.620925272569994385e-02,1.115820880654284068e-05,4.375532167759957304e-05,3.880005893041130749e-01,-6.040365302596231722e-04
8.500000000000000611e-02,1.001838316809651408e+00,5.700357876376245831e-08,2.808548887410238643e-02,6.841283006980779235e-02,1.573979660434835587e-06,5.877816577422548816e-01,9.988864889190157692e-01,1.965202869717881360e-07,4.717819583217980339e-02,9.644834115855895187e-06,3.985198728296382610e-05,3.024320920287981163e-01,-5.245183578459403475e-04
9.000000000000001055e-02,1.002180380960000505e+00,6.487347706593662909e-08,3.102439716281366056e-02,7.488165686068437576e-02,1.609494140887350793e-06,6.070599322499716788e-01,9.988505329295549462e-01,2.268824083485242039e-07,4.793342045897141385e-02,8.330444205616547714e-06,3.625309393064527142e-05,2.214576066152407208e-01,-4.545335872154513063e-04
9.500000000000001499e-02,1.002554789244303857e+00,7.292094777037338306e-08,3.405969682406351923e-02,8.134550293634318363e-02,1.632807608309256731e-06,6.252025874959656893e-01,9.988238418063444257e-01,2.583304497774899527e-07,4.848642064985567157e-02,7.191196589023777995e-06,3.292389176872348450e-05,1.450244694306863369e-01,-3.932927984709552087e-04
1.000000000000000194e-01,1.002961516758985594e+00,8.108498581191967254e-08,3.718570976154334656e-02,8.777912541558799409e-02,1.644849881234832162e-06,6.422629809828392933e-01,9.988061968724970541e-01,2.902627020210856817e-07,4.884855218437375579e-02,6.205223377798488531e-06,2.983380659698014621e-05,7.307729108341762259e-02,-3.399247808318807819e-04
1.050000000000000239e-01,1.003400412386063589e+00,8.930923521809383282e-08,4.039702466645754553e-02,9.416005014136784312e-02,1.646576213473649857e-06,6.582923194001952805e-01,9.987972559093820646e-01,3.221124381332108269e-07,4.903102649477757147e-02,5.352835527936607992e-06,2.695660675422005250e-05,5.557045565124860143e-03,-2.935568150782340117e-04
1.100000000000000283e-01,1.003871212636770371e+00,9.754211628546207893e-08,4.368848626345852443e-02,1.004683402525746727e-01,1.638941403194738212e-06,6.733396843568322243e-01,9.987965746475107043e-01,3.533650554139856613e-07,4.904490239528196821e-02,4.616526373839555796e-06,2.427014995728314257e-05,-5.759970848608483851e-02,-2.533589242135233892e-04
1.150000000000000328e-01,1.004373554338033214e+00,1.057368233014357679e-07,4.705518468524268194e-02,1.066863839297691463e-01,1.622881187468112972e-06,6.874520672389918818e-01,9.988036267249215117e-01,3.835672752067262269e-07,4.890107590993326980e-02,3.980864566263562639e-06,2.175594314653608711e-05,-1.164614735463201933e-01,-2.185660911740117617e-04
1.200000000000000372e-01,1.004906986257682044e+00,1.138512292387763264e-07,5.049244502143764024e-02,1.127986998036609179e-01,1.599299224264122685e-06,7.006744116342321638e-01,9.988178221201956530e-01,4.123307958677250744e-07,4.861026849461502070e-02,3.432331509830204519e-06,1.939864269074860489e-05,-1.711023265698758400e-01,-1.884872444202413027e-04
