,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.005,"[0.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.7013464072420511]","[-0.0, 1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-5.4300457660146515, 9.577882378826372, 0.08295673225623441]",[9.81],"[0.8456060929096926, -0.2592397883007325, 0.4666316189413185, 0.0]",[0.5],"[8, 0, 0]","[0.0, 233.02458595638896, 309.48154030291323, 0.0]"
1,0.01,"[0.0, 0.0, 0.0035067320362102555]","[0.9999987662997035, 0.0031415874858795635, 0.0]","[0.0, 0.0, 1.1789918127061974]","[-0.0007853978404154395, 0.9999950652018582, 0.0]","[0.9996213772985095, -0.013569974568543764, 0.023935639937813856, 0.00020731330738540184]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-9.710247696077637, 15.831588558046313, 0.12242681723937351]",[2.796535927579489],"[0.7531675062896317, -0.32034159191396794, 0.5745606773522554, 0.0]",[0.5],"[8, 0, 0]","[0.0, 206.8864889272131, 250.07411259904416, 0.0]"
2,0.015,"[0.0, 0.0, 0.009401691099741243]","[0.9999950652018582, 0.006283143965558951, 0.0]","[0.01645502464207107, 0.009333454936846172, 1.4733265264380229]","[-0.0015707937429397818, 0.9999802608561371, 0.0]","[0.9972701205720983, -0.03779656108460332, 0.0634304086817508, 0.0005566316162432062]","[[0.99885408432392, -0.0010640816781977182, 0.04784752824969951], [-0.00023514242275409966, 0.9996316256228035, 0.02713959768958672], [-0.04785878119493528, -0.027119748982867144, 0.998485881861953]]","[-12.672320874148442, 19.747623923513245, 0.14150606098729607]",[0.0],"[0.6718211069713682, -0.36168133398912966, 0.6464077759987182, 0.0]",[0.5],"[8, 0, 0]","[0.0, 172.10674530856727, 197.88975126233626, 0.0]"
3,0.02,"[8.227512321035535e-05, 4.666727468423086e-05, 0.016768323731931357]","[0.999988896715596, 0.009424638433144006, 0.0]","[0.041165694151590805, 0.024076607830780073, 1.6175299135540666]","[-0.0023561857696867113, 0.9999555871089498, 0.0]","[0.9912369892862176, -0.06927682744502049, 0.11246709426559477, 0.00105116953991057]","[[0.9919525468314196, -0.005905126790812504, 0.12647242510620432], [-0.003684678474632087, 0.9971422202628433, 0.07545737680191306], [-0.12655658014974414, -0.07531614731829911, 0.9890960064492877]]","[-14.141915290267725, 22.185706534820156, 0.16087582489104862]",[0.0],"[0.6170378525820073, -0.3852568768629051, 0.6861788595627422, 0.0]",[0.5],"[8, 0, 0]","[0.0, 121.22682937861916, 156.14360733974706, 0.0]"
4,0.025,"[0.0002881035939683094, 0.00016705031383813123, 0.02485597329970169]","[0.9999802608561371, 0.012566039883352607, 0.0]","[0.05983308719336704, 0.035602565189203655, 1.6493352120725717]","[-0.0031415719827794755, 0.9999210442038161, 0.0]","[0.9804308113930215, -0.10410990266216043, 0.16707499797475905, 0.0015802818201883651]","[[0.9747000955001045, -0.01766664322530159, 0.2228174444455311], [-0.01349881070542026, 0.9903992324435025, 0.13757595169527434], [-0.2231087312088585, -0.13710306376033735, 0.9651037477732134]]","[-14.073903757716618, 23.64165963577109, 0.18560240213214838]",[0.0],"[0.5880237400284698, -0.3968020830298392, 0.7048235155456372, 0.0]",[0.5],"[8, 0, 0]","[0.0, 27.5329535597657, 120.6628816559151, 37.923328667659035]"
5,0.030000000000000002,"[0.0005872690299351445, 0.0003450631397841495, 0.033102649360064546]","[0.9999691576447897, 0.015707317311820675, 0.0]","[0.07388443031503115, 0.04438989135377487, 1.6398910734241043]","[-0.003926950444355667, 0.9998766324816606, 0.0]","[0.9646128389992854, -0.13829521762354138, 0.22448478633751057, 0.0017562241310249457]","[[0.9441668955222062, -0.037887037527259484, 0.3272819056828038], [-0.031689609578471806, 0.9783172617540886, 0.20467316384603595], [-0.32793999762871817, -0.20361706151840586, 0.9224941464388196]]","[-13.982191684708603, 23.98718026753088, 0.1991073013972544]",[1.2921242727852162],"[0.5794576844069972, -0.4006068111303722, 0.7097485293099488, 0.0]",[0.5],"[8, 0, 0]","[45.90405235398851, 0.0, 74.58142087755915, 30.284001223090446]"
6,0.035,"[0.0009566911815103002, 0.0005670125965530239, 0.04130210472718507]","[0.9999555871089498, 0.018848439715408175, 0.0]","[0.11617561506732135, 0.0705499721636006, 1.6750099033577392]","[-0.004712319216572003, 0.999822352380809, 0.0]","[0.9440442908024547, -0.171594398544753, 0.2816603458160676, 0.001785773257739041]","[[0.8992069927596079, -0.06547849744933448, 0.4325960593255565], [-0.058702192069546376, 0.9617426969185181, 0.26759117618136435], [-0.4335675689191398, -0.26601419378610874, 0.8609620269709193]]","[-13.509448096316953, 22.504696394154863, 0.2193021070969418]",[4.0923531764293415],"[0.578649943216328, -0.4017244906095798, 0.7097757933743684, 0.0]",[0.5],"[8, 0, 0]","[121.7572943759847, 0.0, 0.0, 68.75635158962771]"
7,0.04,"[0.001537569256846907, 0.0009197624573710269, 0.049677154243973766]","[0.9999395492821014, 0.02198937609250511, 0.0]","[0.17670971410443653, 0.10758602031049413, 1.7151274779717545]","[-0.0054976763616091115, 0.999758204436984, 0.0]","[0.9204215505273221, -0.20298764332963853, 0.33408910857103696, 0.002157200632664701]","[[0.8413285212172902, -0.10003437336570299, 0.5311868254500092], [-0.09329097717115802, 0.9411043468038728, 0.3249913875863579], [-0.5324125402024054, -0.32297946153306245, 0.7824456239656753]]","[-12.811172254906312, 20.92377041289861, 0.2369551098938539]",[6.245698374429101],"[0.5672944710821392, -0.4060534265663905, 0.7164479030978658, 0.0]",[0.5],"[8, 0, 0]","[125.73487906131118, 0.0, 0.0, 83.56290094357911]"
8,0.045,"[0.0024211178273690894, 0.0014576925589234976, 0.05825279163383254]","[0.9999210442038161, 0.02513009544333748, 0.0]","[0.2494760330036816, 0.1520316024057464, 1.7483501289298324]","[-0.006283019941676304, 0.9996841892832999, 0.0]","[0.8947613373572658, -0.2319458438837543, 0.381569850098524, 0.002779239370733245]","[[0.7767596280392807, -0.1396029895241006, 0.6141298605052617], [-0.13166085371963754, 0.9175827262818198, 0.3751097972954575], [-0.6158814007957171, -0.3722270083499542, 0.6943609683793788]]","[-12.164387209674716, 19.333950691476296, 0.2584784521469469]",[7.915326433552377],"[0.5527973659890267, -0.41114769159311765, 0.7248259431430725, 0.0]",[0.5],"[8, 0, 0]","[128.70065810454463, 0.0, 25.800429886336463, 80.42294729936201]"
9,0.049999999999999996,"[0.0036684979923874974, 0.0022178505709522294, 0.0669945422784817]","[0.9999000719197535, 0.028270566770273252, 0.0]","[0.3413947694816821, 0.20829823013409574, 1.7803851424763255]","[-0.007068348019016367, 0.9996003076502565, 0.0]","[0.8678486179540872, -0.25862276116476474, 0.4241922028446919, 0.003744164587959839]","[[0.7087934506486202, -0.18198059363578614, 0.6815386326963346], [-0.17203356989101318, 0.8923868026671467, 0.4171932948359326], [-0.6841171647811333, -0.41295139903561817, 0.601211150001686]]","[-11.607010038176423, 18.094947517333097, 0.29013114289976627]",[9.186308927646296],"[0.5374106101690095, -0.41619470991303387, 0.7334656089539431, 0.0]",[0.5],"[8, 0, 0]","[129.98105406716883, 0.0, 67.11961468140493, 74.65769695739978]"
10,0.05499999999999999,"[0.005375471839795908, 0.0032593417216227084, 0.07589646799086333]","[0.9998766324816606, 0.03141075907812829, 0.0]","[0.45293475654018867, 0.27696409399293587, 1.8082462423627441]","[-0.007853658655910338, 0.9995065603657316, 0.0]","[0.8399395687243457, -0.2832584115848807, 0.46286221715538367, 0.0049760514037587725]","[[0.6400939125546121, -0.22591025365462353, 0.7343325816033444], [-0.2129127814024092, 0.8662004972781028, 0.45206730254538163], [-0.7382058863393184, -0.44571432084786256, 0.5063504849065618]]","[-11.204626425222715, 17.080744169340466, 0.3347930028706082]",[9.947344581540003],"[0.5186738358101388, -0.4216899907125341, 0.7437439100785028, 0.0]",[0.5],"[8, 0, 0]","[135.0866381158485, 0.0, 90.03536148378542, 63.43371445483131]"
11,0.05999999999999999,"[0.007640145622496852, 0.004644162191587388, 0.08493769920267705]","[0.9998507259473718, 0.034550641374472266, 0.0]","[0.5858629182335346, 0.3593986918475419, 1.8297232666945658]","[-0.008638949914682283, 0.9994029483549729, 0.0]","[0.8111784035516151, -0.30621235057077, 0.4981774959451763, 0.006540374849420737]","[[0.5714676136848593, -0.2705783977682269, 0.7747335652793882], [-0.25386006788813364, 0.8394798223576752, 0.48044634849914186], [-0.7803715989457619, -0.4712334437574501, 0.41104648039282565]]","[-10.998469843870703, 16.29743540558144, 0.39517841773178225]",[10.235368360462552],"[0.4959712089249687, -0.4274233404000479, 0.7558583518085713, 0.0]",[0.5],"[8, 0, 0]","[141.57570568727058, 0.0, 110.5015511350786, 45.404469091931084]"
12,0.06499999999999999,"[0.010569460213664525, 0.006441155650825097, 0.09408631553614988]","[0.999822352380809, 0.037690182669934534, 0.0]","[0.7505149745468934, 0.4624428113141358, 1.8453916398324202]","[-0.009424219857704086, 0.9992894726405892, 0.0]","[0.7815108272941134, -0.32789492846586876, 0.530709510902206, 0.00855323017195569]","[[0.503552812061246, -0.3157070257276299, 0.8042161645797885], [-0.29448538241170086, 0.812382439709506, 0.5033022264976239], [-0.8122271388048088, -0.49026915623751494, 0.3161063577834355]]","[-10.998469843870703, 15.78853564033325, 0.4770728454069043]",[10.061167845656364],"[0.4678189596187518, -0.4331499542831693, 0.7704067355142457, 0.0]",[0.5],"[8, 0, 0]","[151.71719001161816, 0.0, 133.89961946375936, 0.0]"
13,0.06999999999999999,"[0.014322035086398992, 0.008753369707395776, 0.10331327373531198]","[0.9997915118519811, 0.04082935197850999, 0.0]","[0.9884311558656262, 0.6130598930272992, 1.860351257926579]","[-0.010209466547400226, 0.9991661343425401, 0.0]","[0.7506683901411323, -0.34868467899857847, 0.561063501769266, 0.011122484299299025]","[[0.4365485145831336, -0.3614027982023143, 0.8239013362453037], [-0.3346650302514261, 0.7848235162799767, 0.5215854348241957], [-0.8351195794268459, -0.5034283124194254, 0.221664661848608]]","[-10.998469843870703, 15.724437786258418, 0.5925799678509427]",[9.32803313942656],"[0.42916366721051674, -0.4384837208418319, 0.7896521850176337, 0.0]",[0.5],"[8, 0, 0]","[170.8720863142478, 0.0, 168.98606848091185, 0.0]"
14,0.075,"[0.019264190865727122, 0.011818669172532272, 0.11261503002494487]","[0.999758204436984, 0.0439681183178649, 0.0]","[1.4356531982714926, 0.900266452035835, 1.879491201583972]","[-0.010994688046252553, 0.9990329346781247, 0.0]","[0.7181816730570887, -0.368507036084113, 0.5901045404981727, 0.013938440546323946]","[[0.37016807465084156, -0.4079670887911194, 0.8345887915450269], [-0.37456989925782014, 0.7565905699493405, 0.5359739732801575], [-0.8501017510152981, -0.511012293322804, 0.12725348322813446]]","[-10.998469843870703, 16.802593039723217, 0.8069236287946511]",[7.566936165945197],"[0.3601844252947341, -0.44061652469620927, 0.8222677531921928, 0.0]",[0.5],"[8, 0, 0]","[219.5339130262181, 0.0, 242.85117150891222, 0.0]"
