,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
10,0.05499999999999999,"[1.0004575296770841, 1.9387788260283997e-08, 0.012913263196018892]","[1.0, 0.0, 1.0]","[0.03189418022639707, 1.1843000817621537e-06, 0.4461885185324596]","[0.0, 0.0, 0.0]","[0.9992845334373713, 7.186197277675475e-08, 0.03782090204478201, 2.452282638443676e-05]","[[0.9974801580976131, -5.582731916111177e-05, 0.07094597299967885], [5.5835405340536496e-05, 0.9999999984394569, 1.8691706077351823e-06], [-0.07094597299331538, 2.0968365664007256e-06, 0.9974801596581433]]","[7.327881848041213e-05, 0.8029648846009905, -0.0012387343358894894]",[15.611808616416726],"[0.9984559247765991, 3.373627007260428e-07, 0.055549673971972746, -0.0]",[0.5],"[1.9949603161952263, -0.00011165463832222354, 0.1418919459993577]","[67.51145227017874, 62.35024071312106, 57.262363654722364, 62.349672176189465]"
11,0.05999999999999999,"[1.000617000578216, 2.5309288669094765e-08, 0.01514420578868119]","[1.0, 0.0, 1.0]","[0.03767745618941217, 1.315235326132055e-06, 0.47343045597246514]","[0.0, 0.0, 0.0]","[0.9992065981166005, 8.857522306301893e-08, 0.03982679777947508, 2.1421378645303822e-05]","[[0.9971391575343, -4.900512647500883e-05, 0.07558768491152554], [4.901599801354137e-05, 0.9999999987972518, 1.7113297132177401e-06], [-0.07558768490447651, 1.998571944970174e-06, 0.9971391587370277]]","[6.664885547493211e-05, 0.6810701657760748, -0.0011088669284356955]",[15.30216455176358],"[0.9984957045683114, 3.936705560233081e-07, 0.054829991414155524, -0.0]",[0.5],"[1.9942783150686, -9.801025295001765e-05, 0.15117536982305108]","[66.7176750044334, 61.71985792128979, 56.853328572283615, 61.719320817667324]"
12,0.06499999999999999,"[1.0008053878591632, 3.188546529975504e-08, 0.017511358068543516]","[1.0, 0.0, 1.0]","[0.04364896878698372, 1.4299742218483633e-06, 0.4991704936471204]","[0.0, 0.0, 0.0]","[0.9991373377624412, 1.0818480454125558e-07, 0.04152806209465646, 1.8644898528821557e-05]","[[0.9968276514395148, -4.280171043128884e-05, 0.07959039825000895], [4.281582110127766e-05, 0.9999999990822335, 1.5292799362997258e-06], [-0.07959039824241933, 1.8832997255565987e-06, 0.99682765235725]]","[6.0551769168478106e-05, 0.565083744197392, -0.0009819767315342586]",[15.005610548181599],"[0.998544248254033, 4.471537821932456e-07, 0.05393870853652579, -0.0]",[0.5],"[1.9936553028790296, -8.560342086257768e-05, 0.1591807965000179]","[65.93326944382095, 61.1193246679334, 56.4564593626333, 61.11882588042074]"
13,0.06999999999999999,"[1.0010236327030981, 3.903533640899685e-08, 0.02000721053677912]","[1.0, 0.0, 1.0]","[0.04975735371771294, 1.5280498117359348e-06, 0.523475372958124]","[0.0, 0.0, 0.0]","[0.9990776737701247, 1.311447079007713e-07, 0.042939509918896654, 1.6185924673655992e-05]","[[0.9965508394220604, -3.724864314731388e-05, 0.082984474811411], [3.726661396843663e-05, 0.9999999993047122, 1.3323900525155407e-06], [-0.08298447480334262, 1.7647559628983413e-06, 0.9965508401173014]]","[5.498835757330196e-05, 0.4549318107473495, -0.0008630660237139826]",[14.72175354392741],"[0.9986004048041862, 4.970636968020534e-07, 0.0528888601188208, -0.0]",[0.5],"[1.9931016788441207, -7.449728629462776e-05, 0.165968949622822]","[65.16181314013292, 60.544218258742866, 56.07622096048532, 60.54375880672046]"
14,0.075,"[1.0012724194716867, 4.667558546767653e-08, 0.022624587401569737]","[1.0, 0.0, 1.0]","[0.05595647325555068, 1.609547738026638e-06, 0.5464099093726424]","[0.0, 0.0, 0.0]","[0.9990281912997043, 1.5743089673664771e-07, 0.04407576195291894, 1.4024486836889378e-05]","[[0.9963123964518817, -3.233072936257795e-05, 0.08579981136944632], [3.235325452052082e-05, 0.9999999994759974, 1.1279838467484011e-06], [-0.08579981136095553, 1.6520788455354612e-06, 0.9963123969758156]]","[4.9924565028686604e-05, 0.35054355634467743, -0.000754488061881654]",[14.450193861487367],"[0.9986630041230588, 5.428792604781307e-07, 0.05169336703690986, -0.0]",[0.5],"[1.9926247929037635, -6.46614587251559e-05, 0.17159962273889265]","[64.40544994497161, 59.99167891554231, 55.71516345293732, 59.991256872815036]"
15,0.08,"[1.0015522018379643, 5.472332415780972e-08, 0.02535663694843295]","[1.0, 0.0, 1.0]","[0.06220497829129247, 1.6749464942626572e-06, 0.56803687331223]","[0.0, 0.0, 0.0]","[0.9989891815242717, 1.8669387054168866e-07, 0.04495125193116528, 1.21347318754112e-05]","[[0.9961146540231668, -2.8007837663671013e-05, 0.08806585749237765], [2.8035593210585412e-05, 0.9999999996065779, 9.217240786261554e-07], [-0.0880658574835461, 1.5508356947121702e-06, 0.9961146544164896]]","[4.5312246662524535e-05, 0.2518493578174886, -0.0006570213364860872]",[14.19052789279346],"[0.9987308778740325, 5.842617258382221e-07, 0.05036500353045812, -0.0]",[0.5],"[1.9922293080463336, -5.6015675327342026e-05, 0.1761317149847553]","[63.66542473359268, 59.459832610895816, 55.374581905752265, 59.45944475802047]"
16,0.085,"[1.0018632267294207, 6.3098056629123e-08, 0.028196821314994097]","[1.0, 0.0, 1.0]","[0.06846590429157595, 1.7249948243246193e-06, 0.5884169041904014]","[0.0, 0.0, 0.0]","[0.998960681176215, 2.1838479764416904e-07, 0.04558022985778403, 1.0488862219710067e-05]","[[0.9959587696051384, -2.4228147482049602e-05, 0.08981162875494325], [2.42617159748845e-05, 0.9999999997054269, 7.179324654414213e-07], [-0.08981162874588133, 1.463953093153581e-06, 0.9959587698995721]]","[4.110024844285361e-05, 0.1587791209228243, -0.0005705391082377925]",[13.942350421829694],"[0.9988028781453198, 6.210173679567917e-07, 0.04891636339957947, -0.0]",[0.5],"[1.9919175392102768, -4.8456294964099205e-05, 0.1796232575098865]","[62.942426617201384, 58.94742052810695, 55.05494255300916, 58.947063259633964]"
17,0.09000000000000001,"[1.0022055562508787, 7.17230307507461e-08, 0.031138905835946105]","[1.0, 0.0, 1.0]","[0.07470629926055643, 1.7606184764168923e-06, 0.6076084527937022]","[0.0, 0.0, 0.0]","[0.9989425095175987, 2.5185181820688647e-07, 0.045976761483887456, 9.05939945589726e-06]","[[0.9958448850721908, -2.0936013836981942e-05, 0.09106571493838202], [2.0975829954078212e-05, 0.9999999997798723, 5.198538494157255e-07], [-0.0910657149292196, 1.3924851542683218e-06, 0.9958448852921279]]","[3.7239968280709926e-05, 0.0712607864428292, -0.0004944229206144761]",[13.705256634075578],"[0.9988778938968876, 6.530670128052458e-07, 0.047359825629868305, -0.0]",[0.5],"[1.9916897701443816, -4.1872027673963884e-05, 0.18213142987676403]","[62.23680867759677, 58.45356222221868, 54.75615955828014, 58.453232020694706]"
18,0.09500000000000001,"[1.0025790877471814, 8.052612313283055e-08, 0.03417694809991462]","[1.0, 0.0, 1.0]","[0.08089688173862217, 1.7828499909309646e-06, 0.6256677478297906]","[0.0, 0.0, 0.0]","[0.9989343028254024, 2.8640942052537366e-07, 0.04615472432467307, 7.820413584132822e-06]","[[0.9957722746427622, -1.807647979244279e-05, 0.09185628299697647], [1.8122797116342713e-05, 0.9999999998357278, 3.2987272132978174e-07], [-0.09185628298784997, 1.3362146705544107e-06, 0.9957722748067808]]","[3.368783071368851e-05, -0.010780995600955301, -0.0004278146426976279]",[13.47884385495875],"[0.9989548651562701, 6.804212245264708e-07, 0.04570751995192244, -0.0]",[0.5],"[1.9915445492855244, -3.615295958488558e-05, 0.18371256599395294]","[61.548727921040054, 57.97760507030207, 54.477776095031366, 57.977298732454294]"
19,0.10000000000000002,"[1.0029835721558744, 8.944037308748538e-08, 0.03730528683906357]","[1.0, 0.0, 1.0]","[0.08701172686131725, 1.7927764470652309e-06, 0.6426487830132876]","[0.0, 0.0, 0.0]","[0.9989355464550357, 3.213858569993536e-07, 0.046127800543046, 6.74812192627779e-06]","[[0.9957394827227093, -1.5597720487247378e-05, 0.09221107473521155], [1.5650597078640728e-05, 0.9999999998775184, 1.4968967653087446e-07], [-0.09221107472625219, 1.2941064557914412e-06, 0.995739482844863]]","[3.0406084130891015e-05, -0.08742601980196921, -0.0003697671067394101]",[13.262713053186168],"[0.9990327949601376, 7.031601671599405e-07, 0.04397129283568095, -0.0]",[0.5],"[1.9914789654454186, -3.1195440974494755e-05, 0.1844221494704231]","[60.878233600330326, 57.51902928626907, 54.219084133598656, 57.51874401070359]"
