,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.005,"[1.0, 0.0, 0.0]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.17175536975115943]","[0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 3.4256073950231896, 0.04870214790046379]",[19.810000000000002],"[0.9892080235438764, 0.0, 0.1465178697511594, 0.0]",[0.5],"[6.0, 0.0, 0.0]","[0.0, 70.37400088100719, 185.08396459507748, 70.37400088100719]"
1,0.01,"[1.0, 0.0, 0.0008587768487557972]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.2795565369046449]","[0.0, 0.0, 0.0]","[0.9999633233993457, 0.0, 0.008563704388471911, 0.0001217509041780856]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 5.049231574212681, 0.05090664820664927]",[18.092446302488405],"[0.98721000165842, 0.0, 0.15942525717583872, 0.0]",[0.5],"[6.0, 0.0, 0.0]","[0.0, 86.98848095811931, 127.42151228067776, 86.98848095811931]"
2,0.015,"[1.0, 0.0, 0.0022565595332790216]","[1.0, 0.0, 1.0]","[0.001980867051555676, 2.411812002900504e-07, 0.34614861557540644]","[0.0, 0.0, 0.0]","[0.9997755494861876, -4.4696194515482125e-07, 0.021184632445917843, 0.00024899301822366366]","[[0.9998532962877287, -0.0002434928775375875, 0.017126780601811865], [0.0002434928775375875, 0.9999999703534349, 2.0852775048205897e-06], [-0.017126780601811865, 2.0852775048205897e-06, 0.999853325934294]]","[0.0008219674511939046, 5.810771555563681, 0.0351046303195643]",[17.106113229376774],"[0.9856536517466654, 0.0, 0.16878056404237818, 0.0]",[0.5],"[5.9991197777263725, -0.001460957265225525, 0.10276068361087119]","[0.0, 88.05733666918546, 87.2662581615025, 88.10399659369723]"
3,0.02,"[1.0000099043352577, 1.205906001450252e-09, 0.003987302611156054]","[1.0, 0.0, 1.0]","[0.005566358056235702, 1.2097919980289796e-06, 0.38166645032005536]","[0.0, 0.0, 0.0]","[0.9993623331508465, -1.5039581922528704e-07, 0.035704533976648585, 0.00033664934895242474]","[[0.9991022987012165, -0.0004978932006746262, 0.04235975486598005], [0.0004978553257765245, 0.9999998760045542, 1.1443374393969229e-05], [-0.04235975531114167, 9.655927896702923e-06, 0.9991024226958631]]","[0.0017599876985293123, 6.114066099606815, 0.013378888438634148]",[16.56461388703743],"[0.984628765756605, 7.044049262993603e-08, 0.17466022341855564, -0.0]",[0.5],"[5.994613792207299, -0.002987359204047757, 0.25415852919588033]","[0.0, 83.32597487705456, 55.07218390831559, 83.38224206439212]"
4,0.025,"[1.0000377361255388, 7.25486599159515e-09, 0.00589563486275633]","[1.0, 0.0, 1.0]","[0.011395684247052413, 3.1980375291348957e-06, 0.4140931284501576]","[0.0, 0.0, 0.0]","[0.9986999121703859, 2.9520974092174524e-07, 0.050973999499818415, 0.00036987263866843285]","[[0.9974501458414524, -0.0006728800972708923, 0.0713635326566731], [0.0006728586180203425, 0.9999997733343865, 2.4340416069371184e-05], [-0.07136353285919571, 2.3739216402182717e-05, 0.9974503725069754]]","[0.0024090702244201566, 5.68546769457558, 6.402747132350228e-05]",[16.336988861976188],"[0.9841409763317438, 3.613863411575133e-07, 0.17738810192533086, -0.0]",[0.5],"[5.9847008750487145, -0.004037280583625354, 0.42818119594003856]","[67.54910524748931, 75.79814921077178, 16.64023946414366, 75.84095364008374]"
5,0.030000000000000002,"[1.000094714546774, 2.3245053637269626e-08, 0.007966100505007118]","[1.0, 0.0, 1.0]","[0.01960620652373532, 6.191288125421751e-06, 0.4452652759452253]","[0.0, 0.0, 0.0]","[0.9978745901133121, 1.0608601333181322e-06, 0.06516260992799476, 0.00036969235309919325]","[[0.9948030291384473, -0.0007387534474624135, 0.1018154578652639], [0.0007388136395471577, 0.999999726388288, 3.711812351230165e-05], [-0.10181545742850388, 3.8297427281623206e-05, 0.9948033027498107]]","[0.0026801896598143684, 5.156953459236103, -0.0072456158297295285]",[16.12824309555862],"[0.9837935626088982, 9.764816158626906e-07, 0.17930484145259037, -0.0]",[0.5],"[5.968818174830684, -0.004432520684774481, 0.6108927471915834]","[75.90076770333361, 70.31650296583521, 21.812477726307037, 70.33577883053727]"
6,0.035,"[1.0001927455793926, 5.420149426437838e-08, 0.010192426884733244]","[1.0, 0.0, 1.0]","[0.029946738745853282, 9.853900246211994e-06, 0.47505308327309614]","[0.0, 0.0, 0.0]","[0.9969516452536317, 1.8003696688877234e-06, 0.07802111064448317, 0.00035116468689757815]","[[0.9915073951898722, -0.0007376749538036555, 0.1300482261296066], [0.0007379514674638778, 0.9999997266528774, 4.60630264553257e-05], [-0.1300482245608391, 5.0297447938135236e-05, 0.9915076685324933]]","[0.0027046927864138523, 4.641215132566263, -0.0108965129727101]",[15.90261171546091],"[0.9835738343374558, 1.933075935546757e-06, 0.1805062669354675, -0.0]",[0.5],"[5.949044371139233, -0.004426049722821933, 0.7802893567776396]","[78.08957945425149, 66.5724609437326, 30.66918897922563, 66.57430125334247]"
7,0.04,"[1.000342479273122, 1.0347099549543835e-07, 0.012567692301098724]","[1.0, 0.0, 1.0]","[0.04212912054880094, 1.3863889768519958e-05, 0.5033594705649509]","[0.0, 0.0, 0.0]","[0.9959793301822017, 2.341359614542743e-06, 0.08958275060697891, 0.0003234780030828128]","[[0.9878251659543279, -0.0006999074910327592, 0.15556655050751872], [0.0007004693583973081, 0.9999997533602426, 5.1206754774817744e-05], [-0.1555665479786137, 5.8386280788667145e-05, 0.9878254125811199]]","[0.0025971147091985586, 4.1486605160429715, -0.012357152902025565]",[15.661955302350004],"[0.9834829667898568, 3.147039176154067e-06, 0.18100070172327343, -0.0]",[0.5],"[5.926950995725967, -0.004199444946196555, 0.9333993030451123]","[78.7126541099938, 64.02036166047495, 35.63896395529212, 64.01195924486187]"
8,0.045,"[1.000553124875866, 1.7279044433803817e-07, 0.01508448965392348]","[1.0, 0.0, 1.0]","[0.055878732793775567, 1.7970178079220927e-05, 0.5301250924522644]","[0.0, 0.0, 0.0]","[0.9949967035825837, 2.685426186500091e-06, 0.09990732960591994, 0.0002921362605344151]","[[0.9839496523113388, -0.0006439353188093306, 0.17844513740559287], [0.000644774300547054, 0.9999997907129993, 5.329220699280649e-05], [-0.17844513437607956, 6.261999011523826e-05, 0.9839498615764118]]","[0.0024279025834799085, 3.6791619026724733, -0.012541853998111023]",[15.410464465302573],"[0.9835176308628031, 4.5297601448436944e-06, 0.1808122500316292, -0.0]",[0.5],"[5.903697913868033, -0.003863611912855984, 1.0706708244335572]","[78.59402996517898, 62.261945150829646, 38.49721304799183, 62.24835493977116]"
9,0.049999999999999996,"[1.0008325185398348, 2.626413347341428e-07, 0.0177351151161848]","[1.0, 0.0, 1.0]","[0.07094092463770421, 2.1987657490806447e-05, 0.5553225655369942]","[0.0, 0.0, 0.0]","[0.9940357265734269, 2.905091614573673e-06, 0.10905460332914241, 0.0002603457764920313]","[[0.9800368802948389, -0.0005808126449390776, 0.19881492881227875], [0.0005818858199756658, 0.9999998292983877, 5.302912693554154e-05], [-0.1988149256742373, 6.371708774866929e-05, 0.9800370509676053]]","[0.0022364287982316908, 3.23169460431607, -0.012015917131225308]",[15.151972675201243],"[0.9836723046995197, 6.00691878087615e-06, 0.17996887767348052, -0.0]",[0.5],"[5.880221281769034, -0.0034848758696344657, 1.1928895728736726]","[78.04531868692088, 61.01809919495884, 40.2044622570556, 61.00240725998733]"
