,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
10,0.05499999999999999,"[1.000446540726736, 1.737847240440645e-08, 0.012830567328351854]","[1.0, 0.0, 1.0]","[0.03132620384709433, 1.0677158195880986e-06, 0.44500428094937855]","[0.0, 0.0, 0.0]","[0.9992873274223326, 6.454804925373187e-08, 0.037747009744721255, 2.2549051746730518e-05]","[[0.9975153343164184, -5.13344331261286e-05, 0.07044966407570914], [5.134164264292822e-05, 0.9999999986805586, 1.7084145774188572e-06], [-0.07044966407045543, 1.9128317389443827e-06, 0.9975153356358494]]","[6.903617094931179e-05, 0.8865472787401759, -0.0011389575331446672]",[15.629149089832087],"[0.9983519515484287, 3.0313525186859256e-07, 0.057387985148042324, -0.0]",[0.5],"[2.0489349951193416, -0.00010544290685898809, 0.14470632896890848]","[67.02719753151676, 62.39489732238975, 57.88194652922706, 62.394398266344865]"
11,0.05999999999999999,"[1.0006031717459716, 2.2717051502346945e-08, 0.015055588733098747]","[1.0, 0.0, 1.0]","[0.03710501862271828, 1.1882336705979643e-06, 0.47233724048243964]","[0.0, 0.0, 0.0]","[0.9992012120314977, 7.955767684038381e-08, 0.039961700249079295, 1.9697267083726044e-05]","[[0.9971503254937445, -4.506109032010807e-05, 0.07544021697488548], [4.5070836303484804e-05, 0.9999999989830723, 1.5733144567779478e-06], [-0.0754402169690635, 1.831322647294295e-06, 0.9971503265106557]]","[6.314351789142166e-05, 0.7772343583931552, -0.0010195287408062735]",[15.32024961579248],"[0.9983652084411546, 3.544493113875603e-07, 0.05715689437088307, -0.0]",[0.5],"[2.0616097646561378, -9.31638705167025e-05, 0.15597275955978948]","[66.26881321349826, 61.767007926328354, 57.431928413168535, 61.766530917969895]"
12,0.06499999999999999,"[1.0007886968390851, 2.8658219855336767e-08, 0.017417274935510943]","[1.0, 0.0, 1.0]","[0.04310424296840512, 1.2945529170563288e-06, 0.49816949220328843]","[0.0, 0.0, 0.0]","[0.99912167693077, 9.716145574393232e-08, 0.04190315493026141, 1.7144295116624542e-05]","[[0.9968061242504408, -3.935670776746556e-05, 0.079859558650573], [3.936942480760319e-05, 0.9999999992240226, 1.4152843116011894e-06], [-0.07985955864430473, 1.7332608201024763e-06, 0.9968061250263928]]","[5.766889160895517e-05, 0.6727786398467028, -0.0009028424605087743]",[15.024436515950606],"[0.99838773353703, 4.0341612812504216e-07, 0.05676207820921893, -0.0]",[0.5],"[2.0742862242877256, -8.189865087030784e-05, 0.16618234815836905]","[65.52078682950244, 61.16821655959798, 56.99487978136788, 61.16776905216547]"
13,0.06999999999999999,"[1.0010042180539271, 3.513098444061841e-08, 0.019908122396527384]","[1.0, 0.0, 1.0]","[0.04927587973708618, 1.3861440307123496e-06, 0.5225670636828311]","[0.0, 0.0, 0.0]","[0.9990497849708193, 1.177912307339982e-07, 0.04358356259226479, 1.4883272530887556e-05]","[[0.9964882506259274, -3.425033103036928e-05, 0.08373270084855683], [3.4266616516502435e-05, 0.9999999994121275, 1.24264787569226e-06], [-0.08373270084189377, 1.63095234207591e-06, 0.9964882512137622]]","[5.262761987860359e-05, 0.5731230163681948, -0.0007934975992092545]",[14.741281974991805],"[0.9984187235336759, 4.493376699636305e-07, 0.05621434422977254, -0.0]",[0.5],"[2.0869765997340997, -7.17315425933308e-05, 0.17536402179725508]","[64.78631582983347, 60.5943693130324, 56.57482199722639, 60.59395332644058]"
14,0.075,"[1.0012505974526125, 4.206170459418016e-08, 0.02252095771494154]","[1.0, 0.0, 1.0]","[0.05557658504872867, 1.4629797183949769e-06, 0.5455939909861767]","[0.0, 0.0, 0.0]","[0.9989863127135319, 1.4145162052553962e-07, 0.045014962453601474, 1.2895834803286591e-05]","[[0.9962009457005088, -2.9727992920335608e-05, 0.08708429767563503], [2.9748527966245667e-05, 0.9999999995569487, 1.0619734723828482e-06], [-0.08708429766862255, 1.5326906873278447e-06, 0.9962009461435045]]","[4.800102076887925e-05, 0.4782140770932429, -0.0006936572405309247]",[14.47035913434332],"[0.9984573283878514, 4.917169074801909e-07, 0.055524439559102724, -0.0]",[0.5],"[2.09969071295565, -6.265763038976817e-05, 0.1835473976038234]","[64.06726562602294, 60.042758695338, 56.174061025048395, 60.04237341874062]"
15,0.08,"[1.0015284803778561, 4.9376603186155047e-08, 0.025248927669872426]","[1.0, 0.0, 1.0]","[0.06196728635906723, 1.525395115521482e-06, 0.5673122408459923]","[0.0, 0.0, 0.0]","[0.9989317818740171, 1.6785259648765013e-07, 0.046209252725699944, 1.115820880654284e-05]","[[0.9959473059779969, -2.57527900402223e-05, 0.08993866272057112], [2.577825979777013e-05, 0.9999999996673551, 8.783945733232611e-07], [-0.08993866271327457, 1.4436275045879112e-06, 0.9959473063105619]]","[4.375532167759957e-05, 0.3880005893041131, -0.0006040365302596232]",[14.211243789989886],"[0.9985026684376264, 5.302191442149476e-07, 0.054703026631608864, -0.0]",[0.5],"[2.1124361800793383, -5.4622493672525974e-05, 0.19076278833077603]","[63.36466661497583, 59.51159204061857, 55.79378188773131, 59.51123532760938]"
16,0.085,"[1.0018383168096514, 5.700357876376246e-08, 0.028085488874102386]","[1.0, 0.0, 1.0]","[0.06841283006980779, 1.5739796604348356e-06, 0.5877816577422549]","[0.0, 0.0, 0.0]","[0.9988864889190158, 1.9652028697178814e-07, 0.0471781958321798, 9.644834115855895e-06]","[[0.9957294096760537, -2.2277066125180855e-05, 0.09231978233244632], [2.2308091497387904e-05, 0.9999999997509327, 6.958783948121603e-07], [-0.0923197823249546, 1.3665715680185153e-06, 0.9957294099250087]]","[3.9851987282963826e-05, 0.3024320920287981, -0.0005245183578459403]",[13.963515831373973],"[0.9985538501703021, 5.646400537882332e-07, 0.05376065763871496, -0.0]",[0.5],"[2.125218603383054, -4.7546687782809765e-05, 0.19704120112011142]","[62.67903330278617, 58.99965002407858, 55.434431926543894, 58.99931923013866]"
17,0.09000000000000001,"[1.0021803809600005, 6.487347706593663e-08, 0.03102439716281366]","[1.0, 0.0, 1.0]","[0.07488165686068438, 1.6094941408873508e-06, 0.6070599322499717]","[0.0, 0.0, 0.0]","[0.998850532929555, 2.268824083485242e-07, 0.047933420458971414, 8.330444205616548e-06]","[[0.9955484354899953, -1.9249646027219768e-05, 0.09425132478047046], [1.9286731917554774e-05, 0.9999999998138771, 5.174488264642627e-07], [-0.09425132477288883, 1.3026546642826902e-06, 0.9955484356759637]]","[3.625309393064527e-05, 0.22145760661524072, -0.0004545335872154513]",[13.726760458685835],"[0.998609980570251, 5.948793863906146e-07, 0.052707748055945115, -0.0]",[0.5],"[2.138041757717918, -4.1340577274101196e-05, 0.20241432854213406]","[62.01056876104312, 58.506068170826595, 55.095968853741766, 58.50576060419936]"
18,0.09500000000000001,"[1.0025547892443039, 7.292094777037338e-08, 0.03405969682406352]","[1.0, 0.0, 1.0]","[0.08134550293634318, 1.6328076083092567e-06, 0.6252025874959657]","[0.0, 0.0, 0.0]","[0.9988238418063444, 2.5833044977748995e-07, 0.04848642064985567, 7.191196589023778e-06]","[[0.9954047742674145, -1.6619986768891798e-05, 0.09575664514494012], [1.666348776838825e-05, 0.9999999998611047, 3.453701404531116e-07], [-0.09575664513738, 1.2518565984181689e-06, 0.9954047744061042]]","[3.2923891768723484e-05, 0.14502446943068634, -0.0003932927984709552]",[13.500569210366427],"[0.9986701799951188, 6.209194169401311e-07, 0.05155454963562015, -0.0]",[0.5],"[2.150907771536722, -3.591308744762278e-05, 0.20691453119673694]","[61.35929503430952, 58.030197742290646, 54.77802219195119, 58.0299108907444]"
19,0.10000000000000002,"[1.0029615167589856, 8.108498581191967e-08, 0.03718570976154335]","[1.0, 0.0, 1.0]","[0.087779125415588, 1.6448498812348322e-06, 0.6422629809828393]","[0.0, 0.0, 0.0]","[0.998806196872497, 2.902627020210857e-07, 0.048848552184373756, 6.2052233777984885e-06]","[[0.9952981339217041, -1.4340426170757665e-05, 0.09685878590157004], [1.4390528246175974e-05, 0.9999999998964401, 1.8129754097780143e-07], [-0.09685878589413921, 1.2134039901870553e-06, 0.9952981340249972]]","[2.9833806596980146e-05, 0.07307729108341762, -0.0003399247808318808]",[13.284540827886897],"[0.9987335935455322, 6.428073285157339e-07, 0.05031112325534744, -0.0]",[0.5],"[2.1638173025108447, -3.117665071007334e-05, 0.21057481139666023]","[60.725135659897475, 57.571517742653775, 54.479999242293175, 57.571249372764015]"
