,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.005,"[1.0, 0.0, 0.0]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.09727468952551824]","[0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 1.935993790510365, 0.0189098758102073]",[19.810000000000002],"[0.9974019467222153, 0.0, 0.07203718952551824, 0.0]",[0.5],"[2.876553231625218, 0.0, 0.0]","[0.0, 70.37400088100719, 139.13999390938483, 70.37400088100719]"
1,0.01,"[1.0, 0.0, 0.0004863734476275912]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.152602992582508]","[0.0, 0.0, 0.0]","[0.9999882863635037, 0.0, 0.0048399277824571095, 4.727413576698967e-05]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[2.168404344971009e-20, 2.845323748785329, 0.013531752918409936]",[18.837253104744818],"[0.997090328109523, 0.0, 0.07622911248626607, 0.0]",[0.5],"[2.8972085504451197, 0.0, 0.0]","[0.0, 76.75402604635251, 95.35879394554881, 76.75402604635251]"
2,0.015,"[1.0, 0.0, 0.0012493884105401313]","[1.0, 0.0, 1.0]","[0.0008860106962776795, 4.1885880582815555e-08, 0.1950811728278828]","[0.0, 0.0, 0.0]","[0.999928558830761, -1.7253942054563604e-07, 0.011952851426504003, 8.110106995405407e-05]","[[0.9999531457284335, -9.454716402989526e-05, 0.009679742178604797], [9.454716402989526e-05, 0.9999999955303123, 4.5760680618060546e-07], [-0.009679742178604797, 4.5760680618060546e-07, 0.9999531501981214]]","[0.00014950473505405173, 2.9694778086339624, 0.00582335343637985]",[18.306493704678115],"[0.9968696492631223, 0.0, 0.07906264843793015, 0.0]",[0.5],"[2.917682478432413, -0.0002758715296350677, 0.02824373749000482]","[54.701948700869885, 74.4273191627108, 65.06799359254083, 74.43736215838494]"
3,0.02,"[1.0000044300534814, 2.0942940291407777e-10, 0.002224794274679545]","[1.0, 0.0, 1.0]","[0.0030268073307628046, 2.464215842455626e-07, 0.2355636933458598]","[0.0, 0.0, 0.0]","[0.9998122731587813, -2.2685340650887817e-07, 0.0193754817253827, 9.56500294076828e-05]","[[0.9997142455307849, -0.00016219467667369803, 0.023903994973658443], [0.00016218642732146205, 0.9999999868451735, 2.2838322676380173e-06], [-0.02390399502963097, 1.5937238911272477e-06, 0.9997142586854925]]","[0.0002709528975994545, 2.773616685278038, 0.001295302571490498]",[17.911622194066098],"[0.9966929749286499, 1.1618361111917005e-08, 0.08125954545699492, -0.0]",[0.5],"[2.937545178024992, -0.0004765903781946983, 0.07023913631752055]","[69.93714897810017, 71.0162281863446, 54.15342624087356, 71.02477840472591]"
4,0.025,"[1.0000195640901353, 1.441537324141891e-09, 0.003402612741408844]","[1.0, 0.0, 1.0]","[0.006423174257229785, 6.111107650745011e-07, 0.2741103310222509]","[0.0, 0.0, 0.0]","[0.9996538905874852, -1.5009323259463636e-07, 0.0263075893590742, 9.887060344301144e-05]","[[0.9992491631179624, -0.00019127293744766358, 0.038743688811405545], [0.00019125535587153497, 0.9999999817020409, 4.1601524337126615e-06], [-0.03874368889819969, 3.2529091535708433e-06, 0.9992491814157157]]","[0.00032988541881077255, 2.5521085474129683, -0.0012583240956983528]",[17.53249125554169],"[0.996538983090792, 7.000506393672245e-08, 0.08312674166816147, -0.0]",[0.5],"[2.9566835098649284, -0.000565958482537324, 0.11463890093495933]","[71.91286512031185, 68.57136052812407, 54.3725922792124, 68.5756575607561]"
5,0.030000000000000002,"[1.0000516799614214, 4.497091149514397e-09, 0.004773164396520099]","[1.0, 0.0, 1.0]","[0.010937206195394827, 1.0833243504857868e-06, 0.31076458122334705]","[0.0, 0.0, 0.0]","[0.9994656984849836, -3.924429223387068e-08, 0.03268498727530899, 9.570128025943771e-05]","[[0.9986158019334365, -0.00019768066397533496, 0.05259696807987328], [0.00019766486961082024, 0.9999999804491628, 5.5021770379533865e-06], [-0.05259696813923252, 4.902011902297065e-06, 0.9986158214841839]]","[0.00034781572156980474, 2.3357532094375837, -0.0025991313373430365]",[17.164608923122994],"[0.996411909554052, 1.7785597675988302e-07, 0.08463631902921992, -0.0]",[0.5],"[2.9752558135355467, -0.0005889657900240056, 0.15670634767745995]","[72.14795919117938, 66.77322430789559, 55.15228586104333, 66.7745669210975]"
6,0.035,"[1.0001063659923983, 9.91371290194333e-09, 0.006326987302636834]","[1.0, 0.0, 1.0]","[0.016427914906682047, 1.6156657099708311e-06, 0.34557427674821467]","[0.0, 0.0, 0.0]","[0.999257802527624, 5.8611548247658316e-08, 0.03852059365024679, 8.917675329107557e-05]","[[0.9978633648961557, -0.0001913028592391968, 0.06533504726666756], [0.00019129772844242763, 0.9999999816825268, 6.334436902919154e-06], [-0.06533504728169048, 6.177543607122855e-06, 0.9978633832136227]]","[0.0003429198163645197, 2.1275600949685907, -0.0032062547259259027]",[16.80785104165205],"[0.9963124406224484, 3.229651027165772e-07, 0.0857993045475068, -0.0]",[0.5],"[2.9933991236506716, -0.0005738719661865458, 0.19599263798212552]","[71.88211119037281, 65.4054864939624, 55.54373740121553, 65.40511221961052]"
7,0.04,"[1.0001885055669317, 1.7992041451797484e-08, 0.008054858686377907]","[1.0, 0.0, 1.0]","[0.022764629737402318, 2.171531366059621e-06, 0.3785920949874713]","[0.0, 0.0, 0.0]","[0.9990387843620208, 1.3218359098859583e-07, 0.043834926232870365, 8.113320607126507e-05]","[[0.9970323118246787, -0.00017821661755710994, 0.07698400753646388], [0.00017822564856364299, 0.9999999840950067, 6.7531468593382664e-06], [-0.07698400751555674, 6.987419046957054e-06, 0.9970323277296584]]","[0.00032639999401608294, 1.9276372185883481, -0.0033796786895065717]",[16.462418711363792],"[0.9962404676999107, 4.93285664516976e-07, 0.08663100205365201, -0.0]",[0.5],"[3.0112281285054374, -0.0005382482447062677, 0.23250641547877735]","[71.36904836338073, 64.32235437544458, 55.626543129086784, 64.32107021946067]"
8,0.045,"[1.0003023287156187, 2.8849698282095588e-08, 0.009947819161315263]","[1.0, 0.0, 1.0]","[0.029827733525553346, 2.7238362897210037e-06, 0.4098744971970267]","[0.0, 0.0, 0.0]","[0.9988159424107531, 1.8603867950988389e-07, 0.04864882225879267, 7.265615488483375e-05]","[[0.9961569853191233, -0.0001620988506137396, 0.08758558285402028], [0.00016212202764558033, 0.9999999868347708, 6.848823138232643e-06], [-0.08758558281112237, 7.3770492744480555e-06, 0.9961569984842826]]","[0.0003046803336711946, 1.7358148429375615, -0.003305965222810135]",[16.12846214638582],"[0.9961954374017292, 6.788023086172896e-07, 0.08714729198039836, -0.0]",[0.5],"[3.028842242762279, -0.0004928659372747577, 0.26630633235004386]","[70.71380062044072, 63.42720198433102, 55.517725472857556, 63.42548978886703]"
9,0.049999999999999996,"[1.0004514673832465, 4.246887973070061e-08, 0.011997191647300396]","[1.0, 0.0, 1.0]","[0.03750808897250111, 3.253152340954052e-06, 0.4394806952367431]","[0.0, 0.0, 0.0]","[0.9985954270855698, 2.2946308896490877e-07, 0.05298272228744655, 6.436417339511663e-05]","[[0.9952665736278312, -0.0001451221505011683, 0.09718243853021218], [0.00014515835275177922, 0.9999999894420972, 6.697635932000144e-06], [-0.09718243847614476, 7.440909527998211e-06, 0.9952665841855957]]","[0.00028130676296232195, 1.5519185909933852, -0.0031000267339646543]",[15.806056244534531],"[0.996176436755909, 8.714800409607952e-07, 0.08736421951543454, -0.0]",[0.5],"[3.046327915451452, -0.00044419220934005814, 0.297457568887403]","[69.97669349119175, 62.656911972115985, 55.297152842786005, 62.655046741458925]"
