,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.005,"[1.0, 0.0, 0.0]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.12469247100518352]","[0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 2.4843494201036704, 0.02987698840207341]",[19.810000000000002],"[0.9950420638055248, 0.0, 0.0994549710051835, 0.0]",[0.5],"[4.0, 0.0, 0.0]","[0.0, 70.37400088100719, 157.61819121229854, 70.37400088100719]"
1,0.01,"[1.0, 0.0, 0.0006234623550259176]","[1.0, 0.0, 1.0]","[0.0, 0.0, 0.1984009595013832]","[0.0, 0.0, 0.0]","[0.9999807102935421, 0.0, 0.006210753744331545, 7.469103020934323e-05]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 3.637903070504338, 0.026915739019620254]",[18.563075289948166],"[0.9943747469188344, 0.0, 0.10591913278583787, 0.0]",[0.5],"[4.0, 0.0, 0.0]","[0.0, 80.67267565673416, 107.40361494850477, 80.67267565673416]"
2,0.015,"[1.0, 0.0, 0.0016154671525328338]","[1.0, 0.0, 1.0]","[0.0011104926302550613, 8.294543858679616e-08, 0.23874658076678065]","[0.0, 0.0, 0.0]","[0.9998828660945966, -2.6136844323681986e-07, 0.015304703002502414, 0.0001419732079368676]","[[0.9999228419183547, -0.00014937917888259094, 0.012421267881429875], [0.00014937917888259094, 0.9999999888425001, 9.277751910813184e-07], [-0.012421267881429875, 9.277751910813184e-07, 0.9999228530758547]]","[0.0003291806704200098, 4.158985255715385, 0.01199801907018116]",[17.86806611361407],"[0.9939115621517378, 0.0, 0.11018079061747732, 0.0]",[0.5],"[3.9996913676734187, -0.0005975167155303638, 0.0496850715257195]","[0.0, 79.58137351204056, 72.18602255361125, 79.60205284266927]"
3,0.02,"[1.0000055524631513, 4.147271929339808e-10, 0.002809200056366737]","[1.0, 0.0, 1.0]","[0.0037916097332978387, 5.094240213241633e-07, 0.2772570852488993]","[0.0, 0.0, 0.0]","[0.9996696969955174, -4.555844372744277e-07, 0.02569955924277121, 0.00017194013576253526]","[[0.9995314918192267, -0.00028392115645391457, 0.030605820531522755], [0.0002839051557883227, 0.9999999596870798, 4.868391219833183e-06], [-0.030605820679952017, 3.823039907311926e-06, 0.9995315321318737]]","[0.0006496265482895979, 3.887106358356671, 0.0031781331783494286]",[17.520308598041577],"[0.9936632060739735, 2.337225329493136e-08, 0.1123985448962369, -0.0]",[0.5],"[3.998125967276907, -0.0011356846258156583, 0.12242328212609102]","[68.09541761253101, 74.03351036253794, 43.797225097463155, 74.05514914831181]"
4,0.025,"[1.0000245105118177, 2.961847299554797e-09, 0.004195485482611234]","[1.0, 0.0, 1.0]","[0.008208019447359455, 1.3473241408569361e-06, 0.31404578008540895]","[0.0, 0.0, 0.0]","[0.9993727665403037, -2.987228286361754e-07, 0.03541244356596832, 0.00017982818844763858]","[[0.9986790061826342, -0.00034379010347667516, 0.05138214104561239], [0.00034374327019973187, 0.9999999408727644, 9.7484393232108e-06], [-0.05138214135894539, 7.926703497746799e-06, 0.9986790653090396]]","[0.0008092392255821324, 3.5442863878550845, -0.0018261322042427506]",[17.190446424336933],"[0.9934604957791645, 1.469235748051535e-07, 0.1141763693861178, -0.0]",[0.5],"[3.9947160247305367, -0.0013751604139067006, 0.20552856418244955]","[73.39058717416113, 70.15943782216183, 44.249051749752525, 70.17081189707525]"
5,0.030000000000000002,"[1.0000655506090546, 9.698468003839477e-09, 0.005765714383038278]","[1.0, 0.0, 1.0]","[0.014175937492891175, 2.4715401711820114e-06, 0.34910020296533467]","[0.0, 0.0, 0.0]","[0.9990197708512054, -3.196847477986573e-08, 0.044265864486934536, 0.00017518455478365548]","[[0.9974918530050196, -0.0003594519453923173, 0.07078046328551073], [0.0003594096313710735, 0.999999935323467, 1.33333820693104e-05], [-0.07078046350038587, 1.2139240230578882e-05, 0.9974919176811959]]","[0.0008581374486301684, 3.2076130303144956, -0.004484614060506788]",[16.86317881661392],"[0.9933146372621897, 3.9787605679242023e-07, 0.11543843121129989, -0.0]",[0.5],"[3.9899674120200785, -0.0014378077815692693, 0.2831218531420429]","[74.61133466051535, 67.43782651502971, 46.90541210156383, 67.44145184752271]"
6,0.035,"[1.000136430296519, 2.2056168859749535e-08, 0.007511215397864951]","[1.0, 0.0, 1.0]","[0.02148980293841275, 3.759355628505532e-06, 0.3824201188543649]","[0.0, 0.0, 0.0]","[0.9986326953776093, 2.1016651389062413e-07, 0.052275356191987934, 0.0001638835184784279]","[[0.9960810051031923, -0.0003500284977776209, 0.08844494758133496], [0.00035002283732893104, 0.9999999386207415, 1.5573265801212598e-05], [-0.08844494760373649, 1.5445517247816422e-05, 0.9960810664824468]]","[0.0008453683131960134, 2.8846563230847577, -0.0057215290844851874]",[16.53879762616324],"[0.9932262651126036, 7.473867876598326e-07, 0.11619632649059713, -0.0]",[0.5],"[3.9843240204127692, -0.0014001139911104835, 0.35377979032533985]","[74.79885403328181, 65.49334035010949, 48.63436534380623, 65.49236550057525]"
7,0.04,"[1.0002438793112112, 4.08529470022772e-08, 0.009423315992136775]","[1.0, 0.0, 1.0]","[0.029956635136493354, 5.114789875883698e-06, 0.41402080394934354]","[0.0, 0.0, 0.0]","[0.9982297490143497, 3.9108094063775445e-07, 0.059475590256935336, 0.0001494864020795378]","[[0.9945345205543864, -0.00032729690651341086, 0.10440775978054469], [0.00032734085263090394, 0.9999999462842964, 1.671438030042269e-05], [-0.10440775964277337, 1.755389690940153e-05, 0.9945345742699133]]","[0.0008016618704660688, 2.5757338832273513, -0.006115399537509661]",[16.21877955408121],"[0.993193955919836, 1.164005723694083e-06, 0.1164721680185958, -0.0]",[0.5],"[3.9781380822175456, -0.0013091876260536435, 0.41763103912217875]","[74.49881395820523, 64.06361859403519, 49.60694389503561, 64.06020732822141]"
8,0.045,"[1.0003936624868937, 6.642689638169569e-08, 0.011493420011883493]","[1.0, 0.0, 1.0]","[0.03939916647553909, 6.466733867351297e-06, 0.4439305512791035]","[0.0, 0.0, 0.0]","[0.9978260807172691, 5.197915133052641e-07, 0.06590215972072813, 0.0001341055074029907]","[[0.9929252636348095, -0.00029839702771826507, 0.11874060718624432], [0.0002984900667973958, 0.9999999553073253, 1.7000806739697916e-05], [-0.11874060695239919, 1.8562361256566402e-05, 0.9929253083268724]]","[0.0007445484903133548, 2.2804712718726754, -0.0060261245518591945]",[15.904468678074293],"[0.9932153355634762, 1.6212792182970803e-06, 0.11628971235196599, -0.0]",[0.5],"[3.971701054539238, -0.0011935881108730603, 0.4749624287449773]","[73.91609837848763, 62.9701783641513, 50.10951492432851, 62.96564324622994]"
9,0.049999999999999996,"[1.0005906583192714, 9.876056571845217e-08, 0.013713072768279011]","[1.0, 0.0, 1.0]","[0.04965556954806852, 7.764275067146019e-06, 0.47218807140282554]","[0.0, 0.0, 0.0]","[0.9974341527815535, 6.197102475787596e-07, 0.07158978080107872, 0.00011895130867354322]","[[0.9913137747197132, -0.00026755943494239135, 0.13151778762928912], [0.0002676964564757166, 0.9999999640308855, 1.6638362079579392e-05], [-0.1315177873504615, 1.8713008193625352e-05, 0.991313810687747]]","[0.0006835825209224369, 1.9984838883246425, -0.00567560552084369]",[15.59698236627776],"[0.9932873089921741, 2.0979941345420975e-06, 0.11567334088148329, -0.0]",[0.5],"[3.9652550988788526, -0.0010702377397695654, 0.5260711505171565]","[73.16418104637366, 62.09456934820835, 50.330145566113885, 62.089660031647355]"
10,0.05499999999999999,"[1.0008389361670118, 1.3758194105418225e-07, 0.01607401312529314]","[1.0, 0.0, 1.0]","[0.06057872305347626, 8.97238565417411e-06, 0.4988402187998642]","[0.0, 0.0, 0.0]","[0.9970640324735699, 7.141786428148428e-07, 0.07657221551920165, 0.00010467814761197596]","[[0.9897497782708794, -0.00023720346573653667, 0.1428121848697129], [0.00023738092541967406, 0.9999999717004043, 1.5795155896353302e-05], [-0.14281218457485154, 1.8267636559408368e-05, 0.9897498065689391]]","[0.0006237099936285632, 1.7294392844945907, -0.005198872649759889]",[15.297229035985826],"[0.9934061923172204, 2.5774715256792876e-06, 0.11464788292488605, -0.0]",[0.5],"[3.9589991130835176, -0.0009488138629461467, 0.5712487394788516]","[72.31266754194725, 61.35971816059336, 50.385274125796634, 61.354839152869694]"
11,0.05999999999999999,"[1.0011418297822792, 1.824438693250528e-07, 0.01856821421929246]","[1.0, 0.0, 1.0]","[0.07203536319436388, 1.0068322352016857e-05, 0.5239400412151285]","[0.0, 0.0, 0.0]","[0.996723650169547, 8.210587276460544e-07, 0.0808823639683043, 9.160195978759609e-05]","[[0.9882733697059326, -0.0002086322594578071, 0.15269480411153877], [0.0002088510044216344, 0.9999999780839507, 1.4606711683167121e-05], [-0.1526948038125032, 1.7455039033212997e-05, 0.9882733916199417]]","[0.0005672755429101472, 1.4730548820871914, -0.004676484543832282]",[15.005933184889393],"[0.9935678315853833, 3.04681960206748e-06, 0.11323852714264863, -0.0]",[0.5],"[3.9530934788237304, -0.0008345290378312284, 0.6107792164461551]","[71.40520864404988, 60.71628245565591, 50.34739116802679, 60.711634887621045]"
12,0.06499999999999999,"[1.001502006598251, 2.3278548108513708e-07, 0.0211879144253681]","[1.0, 0.0, 1.0]","[0.08390518856451783, 1.1038701896007404e-05, 0.5475451173423205]","[0.0, 0.0, 0.0]","[0.9964190341641425, 9.516450514366434e-07, 0.08455236235950424, 7.983682875053617e-05]","[[0.9869160696159596, -0.00018247086110265606, 0.16123473024808144], [0.00018273649778605136, 0.9999999832168138, 1.3181228799454768e-05], [-0.16123472994723909, 1.6454703407546526e-05, 0.9869160863964495]]","[0.0005151924249327294, 1.229089580940916, -0.004155038430207987]",[14.723658298544764],"[0.9937677164743958, 3.49626911810777e-06, 0.11147073912485289, -0.0]",[0.5],"[3.9476642784638383, -0.0007298834444106243, 0.6449389209923257]","[70.46929717664712, 60.13313750356821, 50.26200188122087, 60.12880669731661]"
13,0.06999999999999999,"[1.0019215325410735, 2.879789905651741e-07, 0.023925640012079703]","[1.0, 0.0, 1.0]","[0.09607995020184057, 1.1877161317913687e-05, 0.569716148593179]","[0.0, 0.0, 0.0]","[0.9961545262172413, 1.1113963274375423e-06, 0.08761366949321643, 6.938012506887959e-05]","[[0.985701783291016, -0.0001589409439142212, 0.16849916662906025], [0.00015926279926312798, 0.9999999872503506, 1.1604310462258869e-05], [-0.16849916632515496, 1.539725943433721e-05, 0.9857017960370432]]","[0.00046761612591180894, 0.9973353645417037, -0.0036601321969106752]",[14.450827123821536],"[0.994001088876067, 3.918603776322794e-06, 0.10937017554085603, -0.0]",[0.5],"[3.942807133164064, -0.0006357637756568848, 0.673996666516241]","[69.52223487571159, 59.59095051505996, 50.15774095911305, 59.586958474972654]"
14,0.075,"[1.0024019322920827, 3.4736479715474254e-07, 0.026774220755045597]","[1.0, 0.0, 1.0]","[0.10846254870245475, 1.2582508318939579e-05, 0.5905157736000586]","[0.0, 0.0, 0.0]","[0.9959329805593, 1.301254921184244e-06, 0.09009713986987195, 6.0165142090319976e-05]","[[0.9846476802086633, -0.0001380319042127492, 0.17455350700255562], [0.00013842139825478154, 0.999999990370326, 9.943049730369417e-06], [-0.17455350669412034, 1.4371539658361926e-05, 0.9846476898333965]]","[0.0004243267546175957, 0.7776095031853041, -0.003204535558792377]",[14.187739579970625],"[0.9942630454541291, 4.308679958093961e-06, 0.1069625935816604, -0.0]",[0.5],"[3.9385907208346533, -0.0005521276168509968, 0.6982140280102225]","[68.5748771893865, 59.07792956836199, 50.0525240919521, 59.0742657031926]"
15,0.08,"[1.002944245035595, 4.1027733874944043e-07, 0.02972679962304589]","[1.0, 0.0, 1.0]","[0.12096615443293886, 1.3157274500381623e-05, 0.6100075771655615]","[0.0, 0.0, 0.0]","[0.9957559484341887, 1.5189933876982394e-06, 0.09203308340980654, 5.209324012972422e-05]","[[0.983765003534849, -0.00011960641988229177, 0.17946142625751985], [0.00012007537726885296, 0.999999992756925, 8.249489060159596e-06], [-0.17946142594435907, 1.3433339828649522e-05, 0.9837650107711511]]","[0.00038494181509686313, 0.5697473930664084, -0.002793322204766257]",[13.93458860907741],"[0.9945486332135032, 4.66302596319521e-06, 0.10427375581328624, -0.0]",[0.5],"[3.935060014139396, -0.0004784256795291671, 0.7178457050300794]","[67.6340104689726, 58.587049829409324, 49.957364531449606, 58.5836885004562]"
16,0.085,"[1.0035490758077596, 4.7606371125134856e-07, 0.032776837508873696]","[1.0, 0.0, 1.0]","[0.1335133623840123, 1.360659511492992e-05, 0.6282552683541286]","[0.0, 0.0, 0.0]","[0.9956238497753487, 1.7603667493212276e-06, 0.0934513120594434, 4.5053121573807096e-05]","[[0.9830598176887558, -0.00010346471217446901, 0.183284980674368], [0.0001040239027550649, 0.999999994567974, 6.563509625026539e-06], [-0.18328498035785085, 1.2613696430757424e-05, 0.9830598231115525]]","[0.00034903099766211195, 0.37359602418423477, -0.0024270761397182914]",[13.691474233085508],"[0.994852937187286, 4.979510094316367e-06, 0.10132933111905161, -0.0]",[0.5],"[3.9322392707550233, -0.00041385884869787605, 0.733139922697472]","[66.70386915924173, 58.11426119488705, 49.87877777162853, 58.111171439347245]"
17,0.09000000000000001,"[1.0042166426196797, 5.440966868259982e-07, 0.03591811385064434]","[1.0, 0.0, 1.0]","[0.14603538964261106, 1.3937350520964543e-05, 0.6453220052414095]","[0.0, 0.0, 0.0]","[0.9955361332102524, 2.0200120401208464e-06, 0.09438117372120501, 3.893206802066289e-05]","[[0.9825337004891698, -8.93829075265615e-05, 0.18608471031698104], [9.004094185628105e-05, 0.9999999959342349, 4.915220406940345e-06], [-0.18608470999974097, 1.1925872886843212e-05, 0.9825337045425395]]","[0.0003161750072442373, 0.18900807451217636, -0.0021038795864667934]",[13.458416048549571],"[0.9951711594615329, 5.25706730358561e-06, 0.09815479279358377, -0.0]",[0.5],"[3.930134801956679, -0.000357531630106246, 0.7443388412679242]","[65.7871061048753, 57.657338847132415, 49.82031546401064, 57.65448953055491]"
18,0.09500000000000001,"[1.0049468195678928, 6.13783439430821e-07, 0.03914472387685139]","[1.0, 0.0, 1.0]","[0.15847132063038866, 1.4157515420231662e-05, 0.6612698464571676]","[0.0, 0.0, 0.0]","[0.9954914252552274, 2.2921081446465165e-06, 0.09485157409136732, 3.3622195971809226e-05]","[[0.9821843850626036, -7.713525869578337e-05, 0.18791973762579353], [7.789786312489366e-05, 0.9999999969604273, 3.3269185994477887e-06], [-0.18791973731122055, 1.1370898501288031e-05, 0.9821843880858545]]","[0.00028599294592590916, 0.015836633588396765, -0.0018205318045190896]",[13.235364358097812],"[0.9954986889049149, 5.4954750387763205e-06, 0.09477531513213291, -0.0]",[0.5],"[3.9287375402504146, -0.00030854103478313347, 0.7516789505031741]","[64.88541258932406, 57.21515120217355, 49.7835550925104, 57.212513547950316]"
19,0.10000000000000002,"[1.0057391761710448, 6.845710165319793e-07, 0.042451073109137226]","[1.0, 0.0, 1.0]","[0.17076740302656462, 1.4275671689487543e-05, 0.6761593120551195]","[0.0, 0.0, 0.0]","[0.9954876692917788, 2.5708350316359707e-06, 0.09489098713281659, 2.9023659992187888e-05]","[[0.9820063555238758, -6.650639544535916e-05, 0.1888478575139656], [6.737603570738861e-05, 0.9999999977285886, 1.814688417162519e-06], [-0.18884785720570274, 1.0941784432175624e-05, 0.9820063577742724]]","[0.0002581524548577362, -0.14606943907821604, -0.001573284118076637]",[13.022210109285103],"[0.9958311611442386, 5.695170052522896e-06, 0.09121567004458435, -0.0]",[0.5],"[3.9280254220955033, -0.00026602558178143664, 0.7553914300558624]","[63.99991290196922, 56.787197227643745, 49.768746465965144, 56.784745874756084]"
20,0.10500000000000002,"[1.0065930131861776, 7.559493749794171e-07, 0.04583186966941282]","[1.0, 0.0, 1.0]","[0.18287639554977433, 1.4300649003180936e-05, 0.6900490384108074]","[0.0, 0.0, 0.0]","[0.9955222547022098, 2.8506762723886386e-06, 0.09452745504455098, 2.504601631817104e-05]","[[0.981991399437174, -5.729749313206521e-05, 0.18892561538451758], [5.8273289427695456e-05, 0.9999999983020363, 3.8969834617799083e-07], [-0.18892561508605743, 1.0626636641285788e-05, 0.9819914011087013]]","[0.0002323707677024685, -0.29686951654565985, -0.0013582721083310542]",[12.81879378671278],"[0.9961645085199854, 5.857099089891795e-06, 0.0875001253189413, -0.0]",[0.5],"[3.927965597748696, -0.00022918997252826084, 0.7557024615380703]","[63.13141322062743, 56.37331686086755, 49.77524043698005, 56.37103012207796]"
21,0.11000000000000003,"[1.0075073951639264, 8.274526199953218e-07, 0.04928211486146686]","[1.0, 0.0, 1.0]","[0.19475696742589593, 1.424126450518267e-05, 0.7029955137882955]","[0.0, 0.0, 0.0]","[0.9955921363824358, 3.1266045704872202e-06, 0.09378857871166486, 2.1608505846900785e-05]","[[0.9821291192309949, -4.9328798926378354e-05, 0.18820837049722242], [5.040666761911749e-05, 0.9999999987291414, -9.407509771068497e-07], [-0.1882083702116301, 1.0410895703350859e-05, 0.9821291204693481]]","[0.0002084112913405078, -0.43673456760898, -0.0011717595756907857]",[12.624913381625547],"[0.9964949999595791, 5.982597455847881e-06, 0.0836523461701271, -0.0]",[0.5],"[3.9285164769239795, -0.00019731519570551342, 0.7528334819888897]","[62.280556093399014, 55.97351227329015, 49.80177864966089, 55.971371981081035]"
22,0.11500000000000003,"[1.0084811800010558, 8.986589425212352e-07, 0.05279709243040834]","[1.0, 0.0, 1.0]","[0.20637314834252474, 1.4106138635036897e-05, 0.7150528829366588]","[0.0, 0.0, 0.0]","[0.9956939447390579, 3.3941829449931186e-06, 0.09270149972365149, 1.863972795058361e-05]","[[0.9824074040726367, -4.2440037402577834e-05, 0.18675034303075982], [4.36129965980154e-05, 0.9999999990465938, -2.1723837449818705e-06], [-0.18675034276051483, 1.027890795083597e-05, 0.9824074049869405]]","[0.00018607827636324138, -0.5658498863055034, -0.0010102666970354028]",[12.440331544360786],"[0.9968192709106186, 6.0732904418633446e-06, 0.07969530164531527, -0.0]",[0.5],"[3.929629616290547, -0.00016976014961031134, 0.7470013721230393]","[61.44791362938807, 55.587839869284004, 49.846693997089744, 55.58583102898964]"
23,0.12000000000000004,"[1.0095130457427683, 9.691896356964196e-07, 0.056372356845091634]","[1.0, 0.0, 1.0]","[0.21769382692562206, 1.3903568997859418e-05, 0.726272810590796]","[0.0, 0.0, 0.0]","[0.9958240862112676, 3.64960695082336e-06, 0.09129287513110974, 1.6076994948874052e-05]","[[0.982812863203093, -3.6489636805284335e-05, 0.18460464401267176], [3.7748220202633544e-05, 0.9999999992820804, -3.3032733404125314e-06], [-0.1846046437596052, 1.0214996282252393e-05, 0.9828128638749309]]","[0.00016521095776693065, -0.6844172008516742, -0.0008706280023350989]",[12.26478200875621],"[0.9971343436725916, 6.1310134455098425e-06, 0.07565117732752437, -0.0]",[0.5],"[3.931251452812372, -0.00014595854722113734, 0.7384185760506871]","[60.634040866145845, 55.216347234713886, 49.90805312067118, 55.21445760630573]"
24,0.12500000000000003,"[1.0106015148773964, 1.0387074806857167e-06, 0.060003720898045614]","[1.0, 0.0, 1.0]","[0.22869229522111958, 1.3641448043518395e-05, 0.7367043950736502]","[0.0, 0.0, 0.0]","[0.995978834330755, 3.88970698050368e-06, 0.08958884616830026, 1.3865542722084716e-05]","[[0.9833312213836518, -3.135335138469305e-05, 0.18182328802742292], [3.268608383124964e-05, 0.9999999994564214, -4.333302828965845e-06], [-0.18182328779272405, 1.020416319837001e-05, 0.983331221873952]]","[0.00014567787343603404, -0.792656183203027, -0.0007500087817311121]",[12.097975363682464],"[0.9974376386452944, 6.157747349018105e-06, 0.07154129559758597, -0.0]",[0.5],"[3.9333248855346072, -0.0001254134055387722, 0.7272931521096917]","[59.83950330051945, 54.85903848744318, 49.98376068023844, 54.857258160825566]"
25,0.13000000000000003,"[1.011744976353502, 1.1069147209033087e-06, 0.06368724287341386]","[1.0, 0.0, 1.0]","[0.23934583628439374, 1.3327213438195903e-05, 0.7463941243456766]","[0.0, 0.0, 0.0]","[0.9961544113387594, 4.111924570381428e-06, 0.08761500219959523, 1.1957701281122136e-05]","[[0.9839476768999589, -2.6922625434778228e-05, 0.1784571892593479], [2.8316522876042663e-05, 0.9999999995852339, -5.263735700722828e-06], [-0.1784571890436163, 1.02325275965982e-05, 0.9839476772542057]]","[0.00012737169120000534, -0.890805388597467, -0.000645897749036834]",[11.939604235043275],"[0.9977269771683425, 6.155566340962803e-06, 0.06738604449461943, -0.0]",[0.5],"[3.9357907075998355, -0.00010769050173911291, 0.7138287570373916]","[59.06488774915096, 54.51585742318664, 50.071637789025864, 54.51417841958965]"
26,0.13500000000000004,"[1.012941705534924, 1.1735507880942882e-06, 0.06741921349514224]","[1.0, 0.0, 1.0]","[0.24963535174143153, 1.296782250232262e-05, 0.7553858678401963]","[0.0, 0.0, 0.0]","[0.9963470604127147, 4.314272682135302e-06, 0.08539634115107307, 1.0312084490423778e-05]","[[0.9846472224931566, -2.3102901200764828e-05, 0.17455614197950217], [2.4543966321878986e-05, 0.9999999996802109, -6.0968755516601495e-06], [-0.1745561417828255, 1.0287571647850626e-05, 0.984647222745314]]","[0.00011020466919444506, -0.9791226621358737, -0.0005560869645051922]",[11.789347931676977],"[0.9980005767536118, 6.126595881412464e-06, 0.06320481597096189, -0.0]",[0.5],"[3.9385888899726265, -9.241160480305931e-05, 0.6982245679180087]","[58.31080258989523, 54.18668166591138, 50.169482390131016, 54.185097579895164]"
27,0.14000000000000004,"[1.014189882293631, 1.2383899006059014e-06, 0.07119614283434322]","[1.0, 0.0, 1.0]","[0.2595450260609534, 1.2569744067777586e-05, 0.7637208982780264]","[0.0, 0.0, 0.0]","[0.9965531086093022, 4.495286969025241e-06, 0.08295722766490225, 8.892830623364659e-06]","[[0.9854149296233411, -1.9811983933957792e-05, 0.1701687870407243], [2.128567634108732e-05, 0.9999999997500961, -6.835797239082935e-06], [-0.1701687868627677, 1.035825437957461e-05, 0.9854149297987934]]","[9.410476567991272e-05, -1.0578850562239586, -0.0004786457157106784]",[11.646876600407737],"[0.998257039607944, 6.072978938118319e-06, 0.05901595408279682, -0.0]",[0.5],"[3.9416597184933644, -7.924793573583117e-05, 0.6806751481628972]","[57.57787141464742, 53.87132348030993, 50.27511646690462, 53.869829167030474]"
